Risk-Free Rate,Implied Volatility,Relative Error TRBDF2,Relative Error CN,Relative Error CNwRS,Error Diff CNwRS vs CN,Error Diff TR-BDF2 vs CN,Error Diff TR-BDF2 vs CNwRS
0.01,0.3,0.20804552331203283,0.2072301243487796,0.2026540402244266,-0.004576084124353008,0.0008153989632532221,0.00539148308760623
0.02,0.3,0.20483094698081114,0.20297557532643387,0.19849854428220085,-0.004477031044233026,0.0018553716543772691,0.0063324026986102955
0.03,0.3,0.20157528985221226,0.198706415816228,0.19432824090576692,-0.00437817491046108,0.0028688740359842646,0.007247048946445345
0.04,0.3,0.19827911756137734,0.19442362796980273,0.19014411426183955,-0.004279513707963173,0.0038554895915746124,0.008135003299537785
0.05,0.3,0.19494298763624301,0.190128175690755,0.18594712785302644,-0.0041810478377285465,0.004814811945488023,0.00899585978321657
0.060000000000000005,0.3,0.19156744936262926,0.18582100350769762,0.18173822479101212,-0.004082778716685498,0.005746445854931642,0.00982922457161714
0.06999999999999999,0.3,0.18815304367377364,0.1815030327647852,0.17751833037870318,-0.003984702386082006,0.006650010908988452,0.010634713295070458
0.08,0.3,0.1847003030609119,0.1771751642044388,0.17328834682091596,-0.0038868173835228392,0.0075251388564731014,0.01141195623999594
0.09,0.3,0.18120975150903837,0.17283827899273493,0.16904915581076924,-0.003789123181965698,0.008371472516303435,0.012160595698269133
0.09999999999999999,0.3,0.17768190445666124,0.16849323701633015,0.16480161920912542,-0.003691617807204728,0.009188667440331089,0.012880285247535816
0.11,0.3,0.17411726876872183,0.16414087973108554,0.16054657523222324,-0.003594304498862305,0.009976389037636285,0.01357069353649859
0.12,0.3,0.17051634273388455,0.15978202486614212,0.1562848427561579,-0.0034971821099842315,0.010734317867742427,0.014231499977726658
0.13,0.3,0.1668796160790809,0.15541746363104753,0.1520172167716572,-0.0034002468593903323,0.011462152448033364,0.014862399307423696
0.14,0.3,0.1632075700006514,0.1510479691256524,0.14774447250999556,-0.003303496615656848,0.012159600874998983,0.01546309749065583
0.15000000000000002,0.3,0.15950067720844205,0.1466742949586344,0.1434673611250008,-0.0032069338336336017,0.012826382249807644,0.016033316083441246
0.16,0.3,0.15575940198703542,0.1422971683358246,0.13918661371159974,-0.003110554624224854,0.013462233651210825,0.01657278827543568
0.17,0.3,0.15198420026983755,0.13791729564765343,0.13490293810358536,-0.0030143575440680637,0.014066904622184129,0.017081262166252192
0.18000000000000002,0.3,0.1481755197267896,0.13353536521631848,0.13061702190173147,-0.002918343314587013,0.014640154510471126,0.01755849782505814
0.19,0.3,0.1443337998571163,0.12915203689460925,0.12632952788961566,-0.0028225090049935897,0.015181762962507062,0.01800427196750065
0.2,0.3,0.14045947210016044,0.12476796303928914,0.12204109933507852,-0.0027268637042106164,0.0156915090608713,0.018418372765081917
0.1,0.01,0.04984259228795161,0.08611901690673783,0.08369543384924776,-0.002423583057490075,-0.03627642461878622,-0.03385284156129614
0.1,0.02,0.03902551565656591,0.0759875490744068,0.07386872266260058,-0.0021188264118062183,-0.03696203341784089,-0.034843207006034674
0.1,0.03,0.02843453241543934,0.0661315359771005,0.06430455008139509,-0.0018269858957054158,-0.03769700356166116,-0.035870017665955746
0.1,0.04,0.018068794290448102,0.05677928373215199,0.055225438547325735,-0.0015538451848262566,-0.03871048944170389,-0.03715664425687763
0.1,0.05,0.00794511165910284,0.04808112078211786,0.04677809986419024,-0.0013030209179276248,-0.04013600912301502,-0.0388329882050874
0.1,0.060000000000000005,0.002095963378746921,0.0401553071240278,0.03907793904196014,-0.0010773680820676604,-0.03805934374528088,-0.03698197566321322
0.1,0.06999999999999999,0.011689766354751153,0.03312035138241752,0.032240537195273464,-0.0008798141871440568,-0.021430585027666368,-0.02055077084052231
0.1,0.08,0.021133195452888023,0.027118052700887775,0.026404470192253577,-0.0007135825086341981,-0.005984857247999752,-0.005271274739365554
0.1,0.09,0.030347864545286287,0.02237555139865859,0.02179168557081398,-0.0005838658278446082,0.007972313146627698,0.008556178974472306
0.1,0.09999999999999999,0.03933587993436383,0.019674589642011,0.01916207986913565,-0.0005125097728753483,0.019661290292352827,0.020173800065228176
0.1,0.11,0.048101548365096926,0.029440273248720655,0.028673781581001395,-0.0007664916677192594,0.01866127511637627,0.01942776678409553
0.1,0.12,0.05664912943337868,0.038938249361515666,0.03793674266394366,-0.0010015066975720063,0.017710880071863014,0.01871238676943502
0.1,0.13,0.06498282807496175,0.04817031606047643,0.04694483618809024,-0.0012254798723861857,0.016812512014485324,0.01803799188687151
0.1,0.14,0.07310678858693752,0.05713993771900179,0.05570114778702786,-0.0014387899319739314,0.015966850867935728,0.01740564079990966
0.1,0.15000000000000002,0.08102508946232385,0.06585106632787255,0.06420923817518193,-0.001641828152690622,0.015174023134451306,0.016815851287141928
0.1,0.16,0.08874173900239835,0.07430791856896996,0.07247293974957089,-0.0018349788193990635,0.01443382043342839,0.016268799252827454
0.1,0.17,0.09626067177567806,0.08251485678817659,0.08049624108167293,-0.0020186157065036625,0.013745814987501465,0.015764430694005127
0.1,0.18000000000000002,0.10358574621071855,0.09047632276361392,0.08828321999734844,-0.002193102766265484,0.013109423447104626,0.01530252621337011
0.1,0.19,0.11072074384255133,0.09819677560783643,0.09583801507007449,-0.0023587605377619475,0.012523968234714897,0.014882728772476844
0.1,0.2,0.11766937083657777,0.10568066843153145,0.103164690773827,-0.002515977657704449,0.01198870240504632,0.014504680062750769
0.1,0.21000000000000002,0.12443526228513888,0.11293243890680237,0.11026735060517841,-0.002665088301623958,0.01150282337833651,0.014167911679960468
